bin,speaker,tokens,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,anger_per1k,anticipation_per1k,disgust_per1k,fear_per1k,joy_per1k,negative_per1k,positive_per1k,sadness_per1k,surprise_per1k,trust_per1k
2020-03,Miss_T,27824,288,871,168,366,606,739,1508,341,404,859,10.350776308223116,31.303910293271993,6.037952846463485,13.154111558366878,21.77975848188614,26.5598044853364,54.19781483611271,12.255606670500288,14.519838987924095,30.872627947096035
2020-03,Subj_533,17733,105,644,68,175,550,339,1101,167,307,624,5.921163931652851,36.31647211413749,3.8346585462132747,9.86860655275475,31.015620594372074,19.11690069362206,62.08763322618846,9.417470253200248,17.31235549540405,35.188631365251226
2020-04,Miss_T,29144,283,833,183,315,535,718,1498,355,405,933,9.710403513587703,28.582212462256383,6.27916552292067,10.808399670601153,18.357123250068625,24.636288772989293,51.39994510019215,12.180894866867966,13.896513862201482,32.013450452923415
2020-04,Subj_533,16359,115,548,82,134,474,284,1058,154,274,592,7.029769545815759,33.49838009658292,5.012531328320802,8.19120973164619,28.974876214927562,17.360474356623268,64.67387982150498,9.4137783483098,16.74919004829146,36.18803105324287
2020-05,Miss_T,19483,127,584,101,184,429,400,964,182,257,576,6.518503310578453,29.974849869116664,5.1840065698301085,9.444130780680593,22.019196222347688,20.530719088436072,49.47903300313093,9.341477185238412,13.190987014320177,29.564235487347943
2020-05,Subj_533,13157,67,442,55,116,428,214,871,117,199,477,5.092346279547009,33.59428441133997,4.1802842593296345,8.816599528767956,32.5302120544197,16.26510602720985,66.20050163411112,8.892604697119404,15.125028501938132,36.25446530364065
2020-06,Miss_T,22818,188,649,108,223,418,501,1148,218,233,697,8.239109474975896,28.442457708826367,4.73310544307126,9.772986238934175,18.31887106670173,21.956350249802785,50.31115785783154,9.553860986940135,10.211236742922253,30.546060127969145
2020-06,Subj_533,8105,48,319,32,69,258,134,536,70,142,325,5.922270203578038,39.35842072794571,3.948180135718692,8.513263417643431,31.832202344231952,16.53300431832202,66.13201727328808,8.636644046884639,17.520049352251696,40.098704503392966
2020-07,Miss_T,14059,117,372,80,150,260,321,712,149,171,381,8.322071271071911,26.459918913151718,5.690305142613273,10.669322142399885,18.493491713493135,22.832349384735757,50.64371576925813,10.598193328117219,12.16302724233587,27.100078241695712
2020-07,Subj_533,4695,29,144,23,41,119,77,285,40,72,145,6.17678381256656,30.670926517571885,4.898828541001065,8.73269435569755,25.34611288604899,16.40042598509052,60.70287539936102,8.519701810436635,15.335463258785943,30.8839190628328
2020-08,Miss_T,12578,112,358,62,101,261,276,617,113,161,329,8.90443631737955,28.46239465733821,4.929241532835109,8.029893464779773,20.75051677532199,21.943075210685322,49.053903641278424,8.98394021307044,12.800127206233105,26.156781682302434
2020-08,Subj_533,5177,18,176,18,24,142,65,337,33,81,149,3.4769171334749855,33.996523082866524,3.4769171334749855,4.635889511299981,27.42901294185822,12.555534093104114,65.09561522117056,6.374348078037474,15.646127100637434,28.781147382654048
2020-09,Miss_T,14260,164,444,111,179,284,373,716,185,170,449,11.50070126227209,31.136044880785416,7.784011220196354,12.552594670406732,19.91584852734923,26.157082748948106,50.21037868162693,12.97335203366059,11.921458625525947,31.48667601683029
2020-09,Subj_533,5146,38,171,21,44,131,97,329,47,71,144,7.384376214535562,33.22969296541003,4.080839486980179,8.550330353672756,25.456665371162067,18.849591916051303,63.933151962689465,9.133307423241352,13.797123979790129,27.982899339292654
2020-10,Miss_T,7850,58,236,38,76,169,153,389,76,113,237,7.388535031847133,30.063694267515924,4.840764331210191,9.681528662420382,21.52866242038217,19.49044585987261,49.554140127388536,9.681528662420382,14.394904458598727,30.191082802547772
2020-10,Subj_533,3033,26,106,22,32,87,68,171,42,55,106,8.572370590174746,34.94889548302011,7.253544345532475,10.550609957138148,28.684470820969338,22.420046158918563,56.37982195845697,13.847675568743817,18.13386086383119,34.94889548302011
2020-11,Miss_T,6471,46,189,33,56,126,126,306,60,90,188,7.108638541183743,29.20723226703755,5.099675475197033,8.653994745788905,19.471488178025034,19.471488178025034,47.28789986091794,9.272137227630969,13.908205841446454,29.052696646577033
2020-11,Subj_533,2620,7,87,7,15,62,37,154,18,39,73,2.67175572519084,33.20610687022901,2.67175572519084,5.7251908396946565,23.66412213740458,14.122137404580153,58.778625954198475,6.870229007633587,14.885496183206106,27.862595419847327
2020-12,Miss_T,10982,110,318,65,127,219,219,550,110,136,355,10.016390457111637,28.956474230559095,5.9187761792023315,11.564378073210708,19.941722819158624,19.941722819158624,50.08195228555819,10.016390457111637,12.38390092879257,32.32562374795119
2020-12,Subj_533,3762,33,147,21,37,119,71,263,35,73,145,8.771929824561402,39.07496012759171,5.582137161084529,9.835194045720362,31.632110579478997,18.872939925571504,69.90962254120149,9.303561935140884,19.404572036150984,38.54332801701223
2021-01,Miss_T,1185,10,31,13,12,27,21,62,11,15,35,8.438818565400844,26.160337552742615,10.970464135021098,10.126582278481013,22.78481012658228,17.721518987341774,52.32067510548523,9.282700421940929,12.658227848101266,29.535864978902953
2021-01,Subj_533,454,3,22,2,4,19,4,35,4,12,18,6.607929515418502,48.458149779735685,4.405286343612335,8.81057268722467,41.85022026431718,8.81057268722467,77.09251101321586,8.81057268722467,26.431718061674008,39.647577092511014
2021-02,Miss_T,1301,17,34,12,17,23,32,66,16,13,40,13.066871637202153,26.133743274404306,9.223674096848578,13.066871637202153,17.678708685626443,24.596464258262873,50.73020753266718,12.298232129131437,9.992313604919293,30.74558032282859
2021-02,Subj_533,531,7,17,3,2,16,8,36,2,13,22,13.182674199623353,32.015065913371,5.649717514124294,3.766478342749529,30.131826741996232,15.065913370998116,67.79661016949153,3.766478342749529,24.482109227871938,41.431261770244824
2021-03,Miss_T,2334,23,66,19,28,70,56,150,37,32,97,9.854327335047131,28.27763496143959,8.140531276778063,11.996572407883463,29.991431019708653,23.993144815766925,64.26735218508998,15.852613538988862,13.710368466152529,41.55955441302485
2021-03,Subj_533,1335,33,55,13,29,60,46,107,32,27,70,24.719101123595507,41.19850187265917,9.737827715355806,21.722846441947567,44.9438202247191,34.456928838951306,80.14981273408239,23.970037453183522,20.224719101123593,52.434456928838955
