bin,speaker,tokens,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,anger_per1k,anticipation_per1k,disgust_per1k,fear_per1k,joy_per1k,negative_per1k,positive_per1k,sadness_per1k,surprise_per1k,trust_per1k
2019-02,Subj_533,7991,49,353,43,66,304,136,536,105,159,301,6.131898385683895,44.174696533600304,5.381053685396071,8.259291703166062,38.04279814791641,17.01914653985734,67.07545989237893,13.139782255036916,19.89738455762733,37.6673757977725
2019-03,Miss_K,8513,67,368,69,70,278,171,503,95,196,327,7.8703159873135204,43.2280042288265,8.105250792904968,8.222718195700693,32.65593797721132,20.086925878068836,59.08610360624927,11.159403265593797,23.02361094796194,38.41184071420181
2019-03,Subj_533,6883,31,288,31,55,207,118,420,73,143,249,4.503850065378469,41.84221996222577,4.503850065378469,7.9907017288972835,30.074095597849777,17.14368734563417,61.01990411157925,10.605840476536393,20.775824495132937,36.1760860090077
2019-04,Miss_K,9685,71,339,65,73,333,179,625,94,193,411,7.330924109447599,35.002581311306145,6.7114093959731544,7.5374290139390805,34.3830665978317,18.48218895198761,64.53278265358803,9.70573051109964,19.92772328342798,42.436757872999486
2019-04,Subj_533,6612,30,254,30,48,226,105,435,67,139,246,4.537205081669692,38.41500302480338,4.537205081669692,7.259528130671506,34.180278281911676,15.88021778584392,65.78947368421052,10.13309134906231,21.022383545069573,37.20508166969147
2019-05,Miss_K,13602,137,501,125,157,414,323,782,173,263,518,10.072048228201735,36.83281870313189,9.18982502573151,11.542420232318776,30.43670048522276,23.746507866490223,57.49154536097633,12.71871783561241,19.335391854139097,38.08263490663138
2019-05,Subj_533,7162,54,326,55,63,274,142,476,84,159,298,7.539793353811784,45.51801172856744,7.679419156660151,8.796425579447082,38.25746998045239,19.826864004468025,66.4618821558224,11.728567439262775,22.200502652890254,41.608489248813186
2019-06,Miss_K,10025,108,315,98,111,245,250,530,148,163,362,10.773067331670823,31.421446384039903,9.775561097256858,11.072319201995013,24.438902743142144,24.93765586034913,52.86783042394015,14.763092269326682,16.259351620947633,36.109725685785534
2019-06,Subj_533,5897,35,244,32,47,208,112,334,64,124,221,5.935221298965575,41.37697134136002,5.426488044768527,7.970154315753774,35.27217229099542,18.992708156689844,56.638968967271495,10.852976089537053,21.02764117347804,37.47668305918263
2019-07,Miss_K,4645,66,121,33,64,102,129,275,81,61,187,14.208826695371368,26.04951560818084,7.104413347685684,13.778256189451023,21.959095801937565,27.771797631862217,59.203444564047366,17.43810548977395,13.132400430570506,40.258342303552205
2019-07,Subj_533,2371,22,104,9,22,105,50,175,31,57,108,9.278785322648671,43.86334879797553,3.795866722901729,9.278785322648671,44.28511176718684,21.088148460565165,73.80851961197807,13.074652045550401,24.040489245044284,45.55040067482075
2019-08,Miss_K,2002,10,65,5,13,49,37,95,14,28,72,4.995004995004995,32.467532467532465,2.4975024975024973,6.493506493506494,24.475524475524477,18.48151848151848,47.452547452547456,6.993006993006993,13.986013986013987,35.964035964035965
2019-08,Subj_533,1598,6,62,2,3,51,24,85,11,27,55,3.7546933667083855,38.79849812265332,1.2515644555694618,1.8773466833541927,31.914893617021274,15.018773466833542,53.191489361702125,6.88360450563204,16.896120150187734,34.4180225281602
2019-09,Miss_K,2095,22,70,18,19,51,41,105,27,30,68,10.501193317422434,33.41288782816229,8.591885441527447,9.069212410501194,24.3436754176611,19.570405727923628,50.11933174224344,12.88782816229117,14.319809069212411,32.45823389021479
2019-09,Subj_533,1443,7,69,6,10,74,15,113,15,41,67,4.851004851004851,47.81704781704782,4.158004158004158,6.93000693000693,51.28205128205128,10.395010395010395,78.3090783090783,10.395010395010395,28.413028413028414,46.43104643104643
2019-10,Miss_K,1289,8,55,8,11,46,24,97,13,25,59,6.2063615205585725,42.668735453840185,6.2063615205585725,8.533747090768037,35.6865787432118,18.619084561675717,75.25213343677268,10.08533747090768,19.39487975174554,45.77191621411947
2019-10,Subj_533,1397,10,58,4,14,54,29,97,16,34,55,7.158196134574087,41.517537580529705,2.863278453829635,10.021474588403722,38.65425912670007,20.758768790264853,69.43450250536864,11.45311381531854,24.337866857551898,39.37007874015748
2019-11,Miss_K,106,1,10,0,1,10,1,13,1,6,9,9.433962264150942,94.33962264150944,0.0,9.433962264150942,94.33962264150944,9.433962264150942,122.64150943396227,9.433962264150942,56.60377358490566,84.90566037735849
2019-11,Subj_533,130,1,8,1,1,6,3,7,0,5,7,7.6923076923076925,61.53846153846154,7.6923076923076925,7.6923076923076925,46.15384615384615,23.076923076923077,53.84615384615385,0.0,38.46153846153847,53.84615384615385
2019-12,Miss_K,192,0,16,0,0,15,0,20,0,8,14,0.0,83.33333333333333,0.0,0.0,78.125,0.0,104.16666666666667,0.0,41.666666666666664,72.91666666666667
2019-12,Subj_533,225,0,11,0,1,11,2,17,1,6,9,0.0,48.88888888888889,0.0,4.444444444444445,48.88888888888889,8.88888888888889,75.55555555555556,4.444444444444445,26.666666666666668,40.0
2020-01,Miss_K,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2020-01,Subj_533,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,Miss_K,22,0,6,0,0,6,1,6,0,5,5,0.0,272.7272727272727,0.0,0.0,272.7272727272727,45.45454545454545,272.7272727272727,0.0,227.27272727272725,227.27272727272725
2020-02,Subj_533,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,Miss_K,28,0,1,0,0,0,0,0,0,0,0,0.0,35.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,Subj_533,21,0,1,0,0,2,0,2,0,2,1,0.0,47.61904761904761,0.0,0.0,95.23809523809523,0.0,95.23809523809523,0.0,95.23809523809523,47.61904761904761
2020-04,Miss_K,45,0,1,0,0,0,0,2,0,0,1,0.0,22.22222222222222,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,22.22222222222222
2020-04,Subj_533,27,0,1,0,0,1,0,1,0,1,1,0.0,37.03703703703704,0.0,0.0,37.03703703703704,0.0,37.03703703703704,0.0,37.03703703703704,37.03703703703704
2020-06,Miss_K,26,0,4,0,0,4,0,4,0,4,4,0.0,153.84615384615387,0.0,0.0,153.84615384615387,0.0,153.84615384615387,0.0,153.84615384615387,153.84615384615387
2020-06,Subj_533,43,1,5,1,1,5,2,5,1,5,4,23.25581395348837,116.27906976744185,23.25581395348837,23.25581395348837,116.27906976744185,46.51162790697674,116.27906976744185,23.25581395348837,116.27906976744185,93.02325581395348
