bin,speaker,tokens,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,anger_per1k,anticipation_per1k,disgust_per1k,fear_per1k,joy_per1k,negative_per1k,positive_per1k,sadness_per1k,surprise_per1k,trust_per1k
2023-06,Subj_533,1836,14,62,9,14,38,37,82,13,24,46,7.625272331154684,33.76906318082789,4.901960784313726,7.625272331154684,20.697167755991288,20.152505446623096,44.66230936819172,7.080610021786492,13.071895424836601,25.054466230936818
2023-07,Miss_S,18371,120,606,75,139,412,299,883,170,251,547,6.532034184312232,32.98677263077677,4.082521365195144,7.566272930161668,22.426650699471992,16.275651842577975,48.0648848728975,9.253715094442327,13.662838168853085,29.775189156823252
2023-07,Subj_533,4181,17,160,15,23,140,56,238,23,80,155,4.066012915570438,38.268356852427644,3.587658454915092,5.501076297536474,33.48481224587419,13.393924898349677,56.92418081798613,5.501076297536474,19.134178426213822,37.07247070078928
2023-08,Miss_S,18778,147,573,80,182,480,338,1027,225,274,630,7.828309724145277,30.514431781872407,4.260304611779743,9.692192991798914,25.561827670678454,17.99978698476941,54.69166045372244,11.982106720630526,14.591543295345618,33.54989881776547
2023-08,Subj_533,3665,33,135,20,43,133,68,241,39,79,159,9.004092769440655,36.834924965893585,5.457025920873124,11.732605729877216,36.289222373806275,18.553888130968623,65.75716234652114,10.641200545702592,21.555252387448842,43.38335607094133
2023-09,Miss_S,14087,74,469,50,112,330,206,702,128,224,392,5.253070206573437,33.29310712003975,3.549371761198268,7.950592745084121,23.425853623908566,14.623411656136863,49.83317952722368,9.086391708667566,15.901185490168242,27.82707460779442
2023-09,Subj_533,3717,19,123,12,26,114,61,211,29,51,122,5.111649179445789,33.091202582728,3.228410008071025,6.994888350820554,30.669895076674738,16.41108420769438,56.76620930858219,7.80199085283831,13.720742534301856,32.82216841538876
2023-10,Miss_S,5845,43,200,28,51,168,97,312,52,91,186,7.356715141146278,34.217279726261765,4.790419161676646,8.72540633019675,28.74251497005988,16.595380667236952,53.37895637296835,8.896492728828058,15.568862275449103,31.82207014542344
2023-10,Subj_533,1735,9,67,11,19,58,23,92,14,37,57,5.187319884726224,38.61671469740634,6.340057636887608,10.951008645533141,33.42939481268011,13.256484149855908,53.02593659942363,8.069164265129682,21.32564841498559,32.85302593659942
2023-11,Miss_S,7165,39,241,18,56,172,133,379,68,104,230,5.443126308443824,33.635729239357985,2.512212142358688,7.815771109560363,24.005582693649686,18.562456385205863,52.8960223307746,9.490579204466155,14.515003489183531,32.10048848569435
2023-11,Subj_533,3273,15,113,11,22,71,54,158,31,54,95,4.582951420714941,34.52490070271922,3.3608310418576233,6.7216620837152465,21.692636724717385,16.498625114573784,48.27375496486404,9.471432936144211,16.498625114573784,29.02535899786129
2023-12,Miss_S,9480,43,316,30,55,222,130,430,85,133,246,4.5358649789029535,33.333333333333336,3.1645569620253164,5.801687763713081,23.417721518987342,13.713080168776372,45.358649789029535,8.966244725738397,14.029535864978904,25.949367088607595
2023-12,Subj_533,2998,12,113,13,14,88,37,163,23,62,108,4.0026684456304205,37.691794529686454,4.336224149432955,4.66977985323549,29.35290193462308,12.341561040693797,54.36957971981321,7.671781187458306,20.68045363575717,36.02401601067378
2024-01,Miss_S,4656,27,119,19,42,100,77,221,59,54,129,5.798969072164948,25.558419243986254,4.080756013745705,9.02061855670103,21.477663230240548,16.537800687285223,47.465635738831615,12.671821305841924,11.597938144329897,27.70618556701031
2024-01,Subj_533,1679,9,53,2,11,40,27,85,16,25,52,5.360333531864205,31.56640857653365,1.1911852293031568,6.551518761167362,23.823704586063133,16.081000595592617,50.625372245384156,9.529481834425255,14.889815366289458,30.970815961882074
2024-02,Miss_S,3653,18,107,12,28,76,52,194,30,58,120,4.927456884752258,29.290993703805093,3.2849712565015055,7.664932931836846,20.804817957842868,14.234875444839856,53.107035313441,8.212428141253765,15.87736107309061,32.84971256501506
2024-02,Subj_533,1382,6,34,3,10,28,18,69,8,16,38,4.341534008683069,24.602026049204053,2.1707670043415344,7.23589001447178,20.260492040520983,13.024602026049203,49.927641099855286,5.788712011577424,11.577424023154848,27.496382054992765
2024-03,Miss_S,3144,25,126,18,30,105,59,179,35,72,100,7.951653944020356,40.07633587786259,5.7251908396946565,9.541984732824428,33.396946564885496,18.765903307888042,56.93384223918575,11.132315521628499,22.900763358778626,31.806615776081426
2024-03,Subj_533,1119,8,40,4,12,30,22,64,15,18,31,7.149240393208221,35.746201966041106,3.5746201966041107,10.723860589812332,26.80965147453083,19.66041108132261,57.19392314566577,13.404825737265416,16.0857908847185,27.70330652368186
2024-04,Miss_S,1846,7,79,5,21,68,24,118,18,35,73,3.791982665222102,42.79523293607801,2.7085590465872156,11.375947995666305,36.83640303358613,13.001083423618635,63.92199349945829,9.750812567713975,18.95991332611051,39.54496208017335
2024-04,Subj_533,1018,5,37,1,6,29,16,56,8,19,41,4.911591355599214,36.345776031434184,0.9823182711198427,5.893909626719057,28.48722986247544,15.717092337917483,55.0098231827112,7.858546168958742,18.664047151277014,40.27504911591355
2024-05,Miss_S,1338,2,44,1,12,30,22,63,12,18,53,1.4947683109118086,32.884902840059794,0.7473841554559043,8.968609865470851,22.42152466367713,16.442451420029897,47.08520179372197,8.968609865470851,13.45291479820628,39.611360239162934
2024-05,Subj_533,764,3,27,4,4,19,16,30,4,8,18,3.926701570680628,35.340314136125656,5.235602094240838,5.235602094240838,24.869109947643977,20.942408376963353,39.26701570680628,5.235602094240838,10.471204188481677,23.56020942408377
2024-06,Miss_S,1098,2,38,0,9,30,11,51,6,20,32,1.8214936247723132,34.60837887067395,0.0,8.196721311475411,27.3224043715847,10.018214936247723,46.44808743169399,5.46448087431694,18.214936247723134,29.143897996357012
2024-06,Subj_533,261,0,11,1,1,9,3,14,3,8,9,0.0,42.145593869731805,3.8314176245210727,3.8314176245210727,34.48275862068965,11.494252873563218,53.639846743295024,11.494252873563218,30.65134099616858,34.48275862068965
2024-07,Miss_S,481,1,16,1,1,16,3,32,4,12,19,2.079002079002079,33.264033264033266,2.079002079002079,2.079002079002079,33.264033264033266,6.237006237006238,66.52806652806653,8.316008316008316,24.94802494802495,39.5010395010395
2024-07,Subj_533,232,1,14,1,2,11,1,17,1,6,10,4.310344827586206,60.3448275862069,4.310344827586206,8.620689655172413,47.41379310344827,4.310344827586206,73.27586206896551,4.310344827586206,25.862068965517242,43.10344827586207
2024-08,Miss_S,352,0,13,0,1,9,2,18,2,5,9,0.0,36.93181818181819,0.0,2.840909090909091,25.56818181818182,5.681818181818182,51.13636363636364,5.681818181818182,14.204545454545453,25.56818181818182
2024-08,Subj_533,188,1,13,0,0,8,2,11,2,5,8,5.319148936170213,69.14893617021276,0.0,0.0,42.5531914893617,10.638297872340425,58.51063829787234,10.638297872340425,26.595744680851062,42.5531914893617
